source,target,weight
matriyadi,katadatacoid,1
mauli_daharahap,laporan8.id,1
maullyaariifiin,luarbioskop,1
maz.t.aja,luarbioskop,1
mazna_maziya,rikasavvyy,1
mechviator14,indovibing.id,1
meisahardika,bloombergtechnoz,1
meka007,madiuntoday.id,1
meka007,otoproject,1
merchandise_original_persib,indo.flashid,1
mglenak,sindonews,1
mhalim_real,sindonews,1
mhmdvrgii,cerah_indonesiaku,1
mhmmdadry5,astrobike.katalog,1
mhr.fiqi,luarbioskop,1
miftahfarid.90,tuturmediadigital,1
milan_agus1,theglobeconomy,1
mina85.rf,tommybr_jipro,1
mister_lipe007,genbanteng,1
mlnaputraa,luarbioskop,1
mo.moko7390,mkiofficial_,1
mobilgeelyjakarta,tribunnews,1
mohamadrizkyadzano,investordailyid,1
mohamed_iam_08,kompascom,1
monsun_17,akademi.antikorupsi,1
moulidfajri,greenpowergrouptbk,1
mpakhrur,investordailyid,1
muhammad.firdaus10,metrotv,1
muhammad2389arif,sindonews,1
muhammadsabriii,infobandaacehs,1
muhandhika_eco,bloombergtechnoz,1
mujiunimma,syamsiro,1
mulyo_pasoepatisedjati,tumbuhkaya.id,1
mumun.maemunah.587268,sukabumiupdatecom,1
5_famiily,theglobeconomy,1
myvetnadine,syamsiro,1
nabilxcy50,sindonews,1
namakuyuldi,bitorexpost,1
nandia2307,daripresiden,1
narasiboy,rimbasatwa.id,1
nation_027_,sindonews,1
76henikusumawati,sindonews,1
nawangseptia9,laporan8.id,1
nazaruddin25,kompascom,1
ndianwar,heraldsulselbar,1
nellysafitri14,astakomunikasi,1
nengkarawang3,daripresiden,1
nhs.post,astrobike.katalog,1
nicegift_id,bloombergtechnoz,1
nickelodeon_blue,tuturmediadigital,1
nico_perdana,otoproject,1
nicosaliscii,luarbioskop,1
night_aftr,metrotv,1
ninoright,astrobike.katalog,1
nitamia38,sindonews,1
nizar9____,timesindonesia,1
noe.rucon,katadatacoid,1
noorhasanah7757,sindonews,1
________naba,genergibersih,1
note.dedi,genergibersih,1
notes123456789ku,strum_id,1
nourshue,metrotv,1
novendra_df,radiopatria,1
nugraha.1st,sindonews,1
nugraheni.raditya,metrotv,1
nuraini.nadia.75,cryfex.id,1
nuriladi,cerah_indonesiaku,1
nurrr2121_,laporan8.id,1
nurulbtfauzi,infobandaacehs,1
nutaraulin,sukabumiupdatecom,1
nyith2,updatenusantaracom,1
ocaaddd,murianewscom,1
ockta_galuh_sipo,webekspor,1
oddangrewu,pln_enjiniring,1
oki_boer,zonaebt,1
oktamobstervlog,otoproject,1
om_ibas_,otoproject,1
om_nyoss,sindonews,1
om_sullllll,koranbaliexpress,1
omgmicky,kompascom,1
otoproject,otoproject,1
pahotannn,moltensalt.insight,1
pakalidrus,officialinewstv,1
pancasetyawn,arkaproject.idn,1
pandu_kurnia29,policy.pop,1
panduanggasta,sukabumiupdatecom,1
panjimulki,astrobike.katalog,1
parap129,sindonews,1
paridamrlh_,vibesnewssociety,1
partainasi.id,depokseru,1
parvasani,katadatacoid,1
passeljemmy,sindonews,1
paulinajauhari,otoproject,1
___santosoadb,suaradotcom,1
pengangguranimut,investordailyid,1
penguasa.kegelapan666,sindonews,1
pepu20___,cryfex.id,1
permadi_jaya_las,kapitalismarket,1
petabazi,satupersenofficial,1
phantomplanet_xx,cerah_indonesiaku,1
pleiades27_,theglobeconomy,1
_anhso,indovibing.id,1
pnjalubumi,metrotv,1
polix_news,policy.pop,1
pramukaoganilir,cerah_indonesiaku,1
priambodopongky,bitorexpost,1
prittapaw,sindonews,1
ptpesonapariwisata,banten.feeds,1
purwanindita,plnip.ubpadipala,1
puspitaanggraenii,moltensalt.insight,1
putrianggraini683,katakitaig,1
qdhier87,theglobeconomy,1
queenajjakarta,katakitaig,1
quen_echaa,luarbioskop,1
qv0x1i,koranbaliexpress,1
r.o.k.y6.87,suaradotcom,1
r1yus,otoproject,1
r4ndy.bouled,sorot_tanah_air,1
rachmadirwanto,radiopatria,1
rachmat.suhendro,anaktambang,1
rachmatdosen,mkiofficial_,1
raden_maszamroni,investordailyid,1
raden_maszamroni,webekspor,1
radenmasarifningrat,theglobeconomy,1
rahmadsaidah09,sorot_tanah_air,1
rahmat_jeri1,apaajapku,1
raja_makeup23,infobandaacehs,1
raja_springbed,katadatacoid,1
rambeomar,indovibing.id,1
rambeomar,investordailyid,1
rando_arsyad7,bloombergtechnoz,1
randy_suherman2,rikasavvyy,1
rapinoaja,koranbaliexpress,1
ratna_aden,akademi.antikorupsi,1
rayhanlexandra,bloombergtechnoz,1
rays_mans,joeliardisunendar,1
rbmohshaleh,genbanteng,1
refliaisyah,anggadrumaholic,1
regi_alfandi,policy.pop,1
reinakamoon23,tuturmediadigital,1
reinheart_damanik,jakarta_headlines,1
relymalina,katakitaig,1
renedias.mg,bitorexpost,1
renoor281971,sindonews,1
resepnffam,sindonews,1
rex_ray_1,warga.jakbar,1
reynal_da,aqielr15,1
reza_fahleviiii,kapitalismarket,1
rezaaldiprtm_,greenpowergrouptbk,1
rezapahlepie1,sindonews,1
rian65272,luarbioskop,1
riankapraja,solehchemist,1
richard_ucayz,sindonews,1
ricky6510,koranbaliexpress,1
rifnaldo_karangan99,djebtke,1
rifqisyalim,autotivo,1
riisestia,sindonews,1
rikypermana_brt,bloombergtechnoz,1
rilasusiana13,genbanteng,1
rina286_,cravinginformation,1
ringgalmajiid,otoproject,1
riniyulia790,banten.feeds,1
riyani_twins,banten.feeds,1
_arelov,feedcollective.co,1
rizalkansaja,moltensalt.insight,1
rizkiaazzani,investordailyid,1
rizkirezeki,feedcollective.co,1
rizky_binahong,sukabumiupdatecom,1
rizky_fernandez29,tumbuhkaya.id,1
rizkyjokeja,astakomunikasi,1
rizqimulyana,zonaebt,1
rnaufallll,astrobike.katalog,1
robbi.farhan,otoproject,1
robi_scorpion,bitorexpost,1
romoraedwards,katadatagreen,1
ron_stry,bitorexpost,1
ronnypunya,bitorexpost,1
rossiagstn,lifeatgenb,1
roynurm,bitorexpost,1
rsadiesha15,zonaebt,1
rsma.39,kabarciledug,1
rucytriadi,depokhariini,1
rudi_wassalam,sindonews,1
rudywijaya.rw79,kompascom,1
rwt_ramadhan,sindonews,1
ryaaannv,theglobeconomy,1
ryantwensley,bloombergtechnoz,1
rzky80465,bitorexpost,1
rzky_percil01,ikiloguntor,1
s0fyhud4,madiuntoday.id,1
sablonjambi,katadatacoid,1
sahimal1791,laporan8.id,1
sahimal5842,metrotv,1
salsabillaurel,genergibersih,1
samaranantonio,sindonews,1
samaranantonio,vivacoid,1
samhuda1966,metrotv,1
samiun1976,indovibing.id,1
samyugeu,timesindonesia,1
sandianandar,kabartanpadelay,1
